__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,start_time,end_time,run_time,total_energy(J),monsoon_run_time(ms),average_power(W)
run_62,DONE,pidigits,py,False,3,33.3,3.59,0.0,1697574716.369359,1697574718.990755,2.621396064758301,0.010394345638079106,2.6335608959198,3.946878788405144
run_63,DONE,pidigits,py,False,4,32.1,3.587,0.0,1697574720.047766,1697574722.759714,2.7119481563568115,0.010200455356865496,2.7161777019500732,3.755444774302544
run_64,DONE,pidigits,py,False,5,32.9,3.584,0.0,1697574723.816273,1697574726.487961,2.6716880798339844,0.010433554064389405,2.6640214920043945,3.9164676770453744
run_65,DONE,pidigits,py,True,1,32.5,3.573,0.0,1697574736.544098,1697574738.810625,2.266526937484741,0.00797517003480076,2.2749574184417725,3.505634861624503
run_66,DONE,pidigits,py,True,2,33.3,3.583,0.0,1697574739.869314,1697574742.549823,2.680509090423584,0.009513163653006296,2.6864051818847656,3.5412244277804428
run_67,DONE,pidigits,py,True,3,32.9,3.578,0.0,1697574743.604011,1697574746.221824,2.6178128719329834,0.009823985820718757,2.616021156311035,3.7553158914708415
run_68,DONE,pidigits,py,True,4,33.3,3.576,0.0,1697574747.268728,1697574750.008036,2.7393081188201904,0.010501963787143014,2.7582671642303467,3.807449808827141
run_69,DONE,pidigits,py,True,5,32.6,3.575,0.0,1697574751.06452,1697574753.702213,2.637693166732788,0.009774988032413286,2.6404128074645996,3.702068102676532
run_70,DONE,pidigits,js,False,1,33.0,3.59,0.0,1697574763.757909,1697574766.4117491,2.6538400650024414,0.009897279172351092,2.6695590019226074,3.7074584847995884
run_71,DONE,pidigits,js,False,2,33.3,3.584,0.0,1697574767.469621,1697574769.804906,2.335284948348999,0.008888934129790896,2.34040904045105,3.7980258904134967
run_72,DONE,pidigits,js,False,3,34.9,3.584,0.0,1697574770.864943,1697574773.5667992,2.7018561363220215,0.009528126256684834,2.7091283798217773,3.5170449387531986
run_73,DONE,pidigits,js,False,4,32.2,3.586,0.0,1697574774.619909,1697574777.187804,2.56789493560791,0.009611830337904526,2.559586524963379,3.7552277464197252
run_74,DONE,pidigits,js,False,5,32.5,3.585,0.0,1697574778.252738,1697574780.543079,2.2903409004211426,0.00888102102431647,2.291512966156006,3.8756145636017543
run_75,DONE,pidigits,js,True,1,32.6,3.588,0.0,1697574790.59848,1697574792.93908,2.34060001373291,0.008559232516683895,2.335956573486328,3.664123132182016
run_76,DONE,pidigits,js,True,2,33.3,3.593,0.0,1697574793.999477,1697574796.612872,2.613394975662231,0.009672595047890852,2.6235063076019287,3.686896051998553
run_77,DONE,pidigits,js,True,3,32.5,3.576,0.0,1697574797.6707132,1697574800.235241,2.564527750015259,0.009628554434793678,2.5614612102508545,3.7590084894749247
run_78,DONE,pidigits,js,True,4,32.6,3.608,0.0,1697574801.291123,1697574803.7116852,2.420562267303467,0.009062483434056698,2.4029362201690674,3.7714207135381534
run_79,DONE,pidigits,js,True,5,34.1,3.581,0.0,1697574804.760756,1697574807.3626418,2.6018857955932617,0.00971308112189612,2.62385892868042,3.701830542688887
run_80,DONE,pidigits,cpp,False,1,32.2,3.535,0.0,1697574817.4273028,1697574819.741367,2.314064264297486,0.008373507672999062,2.3162622451782227,3.6150948323879315
run_81,DONE,pidigits,cpp,False,2,8.2,3.521,0.0,1697574820.800669,1697574823.3799171,2.5792481899261475,0.00952256468758258,2.574660062789917,3.698571638721064
run_82,DONE,pidigits,cpp,False,3,8.1,3.525,0.0,1697574824.445102,1697574826.784319,2.339216947555542,0.00837165599694268,2.3463616371154785,3.5679308187268406
run_83,DONE,pidigits,cpp,False,4,7.2,3.533,0.0,1697574827.830516,1697574830.4970062,2.666490316390991,0.00947967755621178,2.6678285598754883,3.5533308619554664
run_84,DONE,pidigits,cpp,False,5,7.2,3.53,0.0,1697574831.553694,1697574834.300132,2.7464380264282227,0.009836992414841626,2.742213010787964,3.587245912750959
run_85,DONE,pidigits,cpp,True,1,7.2,3.525,0.0,1697574844.358089,1697574846.696212,2.338123083114624,0.008423250108030864,2.334214210510254,3.6086020169458055
run_86,DONE,pidigits,cpp,True,2,6.0,3.532,0.0,1697574847.752736,1697574850.382737,2.6300008296966553,0.00974217609554568,2.614495277404785,3.726216750032157
run_87,DONE,pidigits,cpp,True,3,7.1,3.526,0.0,1697574851.440982,1697574853.761247,2.3202648162841797,0.008553092186111926,2.3209376335144043,3.685188288821309
run_88,DONE,pidigits,cpp,True,4,6.0,3.529,0.0,1697574854.817316,1697574857.439172,2.6218559741973877,0.009438903671843168,2.626664876937866,3.593493694120175
run_89,DONE,pidigits,cpp,True,5,8.1,3.526,0.0,1697574858.495431,1697574860.762877,2.2674460411071777,0.008020885559357881,2.273590564727783,3.527849597809279
run_90,DONE,regexredux,py,False,1,29.0,3.551,0.0,1697574870.818667,1697574874.955138,4.1364710330963135,0.014488570339245915,4.157333135604858,3.485063589242036
run_91,DONE,regexredux,py,False,2,21.6,3.554,0.0,1697574876.015291,1697574880.046409,4.031117916107178,0.015447221835309437,4.033798456192017,3.829448100362434
run_92,DONE,regexredux,py,False,3,27.15,3.56,0.0,1697574881.10739,1697574885.131847,4.024456977844238,0.014608586645321418,4.021272897720337,3.632826474821701
run_93,DONE,regexredux,py,False,4,31.6,3.559,0.0,1697574886.186591,1697574890.292382,4.105791091918945,0.014342979019647146,4.099437952041626,3.4987671938061586
run_94,DONE,regexredux,py,False,5,21.45,3.56,0.0,1697574891.348898,1697574895.530824,4.181926012039185,0.014900440687854358,4.164010047912598,3.578387303681914
run_95,DONE,regexredux,py,True,1,33.3,3.59,0.0,1697574905.5915132,1697574908.234259,2.6427457332611084,0.009224480894735751,2.6621358394622803,3.465067694141027
run_96,DONE,regexredux,py,True,2,33.3,3.579,0.0,1697574909.2958348,1697574911.917556,2.6217212677001953,0.010077762223855927,2.6197683811187744,3.846814205594851
run_97,DONE,regexredux,py,True,3,32.1,3.582,0.0,1697574912.977143,1697574915.6047,2.627556800842285,0.010134431480459078,2.60830020904541,3.8854543834001736
